SrcAddr,DstAddr,TimeWindow,Packets,Timestamp
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:30; 2022-10-04 19:31; 2022-10-04 19:32; 2022-10-04 19:33; 2022-10-04 19:34; 2022-10-04 19:35; 2022-10-04 19:36; 2022-10-04 19:37
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:outgoingA; 142:incoming; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:37; 2022-10-04 19:38; 2022-10-04 19:39; 2022-10-04 19:40; 2022-10-04 19:41; 2022-10-04 19:42; 2022-10-04 19:43; 2022-10-04 19:44
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:44; 2022-10-04 19:45; 2022-10-04 19:46; 2022-10-04 19:47; 2022-10-04 19:48; 2022-10-04 19:49; 2022-10-04 19:50; 2022-10-04 19:51
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:outgoingA; 142:incoming; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:51; 2022-10-04 19:52; 2022-10-04 19:53; 2022-10-04 19:54; 2022-10-04 19:55; 2022-10-04 19:56; 2022-10-04 19:57; 2022-10-04 19:58
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:incoming; 142:incomingA; 142:incomingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:58; 2022-10-04 19:59; 2022-10-04 20:00; 2022-10-04 20:01; 2022-10-04 20:02; 2022-10-04 20:03; 2022-10-04 20:04; 2022-10-04 20:05
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 20:05; 2022-10-04 20:06; 2022-10-04 20:07; 2022-10-04 20:08; 2022-10-04 20:09; 2022-10-04 20:10; 2022-10-04 20:11; 2022-10-04 20:12
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 20:12; 2022-10-04 20:13; 2022-10-04 20:14; 2022-10-04 20:15; 2022-10-04 20:16; 2022-10-04 20:17; 2022-10-04 20:18; 2022-10-04 20:19
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 20:19; 2022-10-04 20:20; 2022-10-04 20:21; 2022-10-04 20:22; 2022-10-04 20:23; 2022-10-04 20:24; 2022-10-04 20:25; 2022-10-04 20:26
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:outgoingA; 142:incoming; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 20:26; 2022-10-04 20:27; 2022-10-04 20:28; 2022-10-04 20:29; 2022-10-04 20:30; 2022-10-04 20:31; 2022-10-04 20:32; 2022-10-04 20:33
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 20:33; 2022-10-04 20:34; 2022-10-04 20:35; 2022-10-04 20:36; 2022-10-04 20:37; 2022-10-04 20:38; 2022-10-04 20:39; 2022-10-04 20:40
